RespondentID,"In your own words, what would you call the part of the country you live in now?",Personally identification as a Midwesterner?,Illinois in MW?,Indiana in MW?,Iowa in MW?,Kansas in MW?,Michigan in MW?,Minnesota in MW?,Missouri in MW?,Nebraska in MW?,North Dakota in MW?,Ohio in MW?,South Dakota in MW?,Wisconsin in MW?,Arkansas in MW?,Colorado in MW?,Kentucky in MW?,Oklahoma in MW?,Pennsylvania in MW?,West Virginia in MW?,Montana in MW?,Wyoming in MW?,ZIP Code,Gender,Age,Household Income,Education,Location (Census Region)
3122721858,California,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,94114,Female,> 60,"$150,000+",Graduate degree,Pacific
3120862360,West coast,Not at all,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,93401,Female,> 60,"$150,000+",Graduate degree,Pacific
3123244986,northwest,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,97741,Female,> 60,"$150,000+",Graduate degree,Pacific
3122928269,Southwest,Some,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,92020,Female,> 60,"$150,000+",Graduate degree,Pacific
3122855938,northwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,99507,Female,> 60,"$150,000+",Graduate degree,Pacific
3122893863,California,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,94025,Male,> 60,"$150,000+",Graduate degree,Pacific
3122865289,High Desert,Not at all,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,92392,Male,> 60,"$150,000+",Graduate degree,Pacific
3122393537,"Southwest, suburban",Not at all,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,91740,Male,> 60,"$150,000+",Graduate degree,Pacific
3122864652,Far West,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,92130,Male,> 60,"$150,000+",Graduate degree,Pacific
3122206908,California,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,93711,Male,> 60,"$150,000+",Graduate degree,Pacific
3122849268,Silicon Valley,Not at all,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,95070,Female,45-60,"$150,000+",Graduate degree,Pacific
3122266568,Weather Fabulous,Not at all,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,90056,Female,45-60,"$150,000+",Graduate degree,Pacific
3120861399,Ca,Not at all,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,98656,Female,45-60,"$150,000+",Graduate degree,Pacific
3123371240,THE NORTHWEST,Not at all,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,97502,Female,45-60,"$150,000+",Graduate degree,Pacific
3123290052,west coast,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,90245,Male,45-60,"$150,000+",Graduate degree,Pacific
3123054076,Southern california,Not at all,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,92782,Female,45-60,"$150,000+",Graduate degree,Pacific
3122988231,West coast,Not at all,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,91304,Male,45-60,"$150,000+",Graduate degree,Pacific
3122975226,West Coast,Not at all,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,94533,Female,45-60,"$150,000+",Graduate degree,Pacific
3122870329,Pacific Northwest,Not at all,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,98665,Male,45-60,"$150,000+",Graduate degree,Pacific
3122838458,California,Not at all,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,94085,Female,30-44,"$150,000+",Graduate degree,Pacific
3120786297,West coast,Not at all,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,92359,Female,30-44,"$150,000+",Graduate degree,Pacific
3123170755,the west,Not much,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,95616,Female,30-44,"$150,000+",Graduate degree,Pacific
3120981495,San Francisco Bay Area,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,94129,Female,30-44,"$150,000+",Graduate degree,Pacific
3123259973,West Coast,Not at all,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,90036,Male,30-44,"$150,000+",Graduate degree,Pacific
3121009122,hawaii,A lot,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,96814,Male,30-44,"$150,000+",Graduate degree,Pacific
3120934385,Pacific Northwest,A lot,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,98101,Male,30-44,"$150,000+",Graduate degree,Pacific
